mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__learning_rate,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.17252717018127442,0.030794728350353438,0.010396718978881836,0.002499541486476038,0.00014445251022763054,optimal,elasticnet,"{'classifier__alpha': np.float64(0.00014445251022763054), 'classifier__learning_rate': 'optimal', 'classifier__penalty': 'elasticnet'}",0.9887640449438202,0.9691008797885351,0.9691008797885351,0.9662910709213143,0.971909225767762,0.9730332202419933,0.008063564840985037,10
0.16179776191711426,0.019781723035228616,0.010795259475708007,0.0015658506471555673,6.026889128682509e-06,adaptive,elasticnet,"{'classifier__alpha': np.float64(6.026889128682509e-06), 'classifier__learning_rate': 'adaptive', 'classifier__penalty': 'elasticnet'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9719065656565656,0.9775280898876404,0.9735937455776412,0.0074537533010767335,3
0.13243746757507324,0.0206198697824211,0.013169431686401367,0.006798645934971824,1.707072883030666e-06,adaptive,elasticnet,"{'classifier__alpha': np.float64(1.707072883030666e-06), 'classifier__learning_rate': 'adaptive', 'classifier__penalty': 'elasticnet'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9719065656565656,0.9775280898876404,0.9735937455776412,0.0074537533010767335,3
0.09753022193908692,0.017816256245259527,0.00828380584716797,0.005257983924158982,9.962513222055122e-06,adaptive,l1,"{'classifier__alpha': np.float64(9.962513222055122e-06), 'classifier__learning_rate': 'adaptive', 'classifier__penalty': 'l1'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9719065656565656,0.9775280898876404,0.9735937455776412,0.0074537533010767335,3
0.06485528945922851,0.011247564737954435,0.008979463577270507,0.0039043012528537846,0.00019069966103000456,adaptive,l2,"{'classifier__alpha': np.float64(0.00019069966103000456), 'classifier__learning_rate': 'adaptive', 'classifier__penalty': 'l2'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9719065656565656,0.9775280898876404,0.9735937455776412,0.0074537533010767335,3
0.06557488441467285,0.004748031466936035,0.011538982391357422,0.0025783337075380654,0.0011462107403425038,constant,elasticnet,"{'classifier__alpha': np.float64(0.0011462107403425038), 'classifier__learning_rate': 'constant', 'classifier__penalty': 'elasticnet'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9719065656565656,0.9775280898876404,0.9735937455776412,0.0074537533010767335,3
0.14297614097595215,0.032850519172300016,0.011839151382446289,0.0025705058167862877,1.4271483774997195e-05,adaptive,elasticnet,"{'classifier__alpha': np.float64(1.4271483774997195e-05), 'classifier__learning_rate': 'adaptive', 'classifier__penalty': 'elasticnet'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9719065656565656,0.9775280898876404,0.9735937455776412,0.0074537533010767335,3
0.07620348930358886,0.0071043230627481305,0.010182666778564452,0.001522214986329065,7.122305833333869e-06,adaptive,l2,"{'classifier__alpha': np.float64(7.122305833333869e-06), 'classifier__learning_rate': 'adaptive', 'classifier__penalty': 'l2'}",0.98595405872466,0.9662878787878788,0.9662921348314607,0.9719065656565656,0.9775280898876404,0.9735937455776412,0.0074537533010767335,3
0.20196261405944824,0.08413658111933367,0.022427129745483398,0.020199077269811804,0.0006894481952587272,optimal,elasticnet,"{'classifier__alpha': np.float64(0.0006894481952587272), 'classifier__learning_rate': 'optimal', 'classifier__penalty': 'elasticnet'}",0.9887640449438202,0.9719101123595506,0.9691008797885351,0.9690950272667723,0.9719065656565656,0.9741553260030488,0.007411701914231194,2
0.12075443267822265,0.025883331576866474,0.00517725944519043,0.0037981277771399103,0.0011219752813215707,adaptive,elasticnet,"{'classifier__alpha': np.float64(0.0011219752813215707), 'classifier__learning_rate': 'adaptive', 'classifier__penalty': 'elasticnet'}",0.98595405872466,0.9690989291942522,0.9662921348314607,0.9719065656565656,0.9775280898876404,0.9741559556589159,0.006971936248414158,1
