mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
48.562585258483885,2.2020464376823643,0.34563727378845216,0.07196005357404353,10,4,30,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': 30}",0.9624854258839083,0.9621133595972137,0.9629173738346758,0.9628048388144071,0.9621098683668023,0.9624861732994013,0.000337069022469293,10
56.14961524009705,5.089762900346677,0.27389979362487793,0.054797227352881527,2,2,30,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 30}",0.9627932096617667,0.9623756267511033,0.9632641030918705,0.9631282924787677,0.9619168254994933,0.9626956114966003,0.000495745659528508,9
44.19713115692139,2.585447383361487,0.2568194389343262,0.05286457104764928,10,4,20,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': 20}",0.9632107268737963,0.9621712502969657,0.9633096419255942,0.9631548700076925,0.9627424707470612,0.9629177919702219,0.0004203867843562733,8
48.819085645675656,0.5842739933984512,0.25101323127746583,0.036796302583110785,5,4,20,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': 20}",0.9632581208415326,0.9622660573451535,0.9634349221406494,0.962967042642811,0.9629461765233481,0.962974463898699,0.000398792715466877,6
45.55705137252808,1.9184854500304604,0.1830592632293701,0.04792389873876939,2,4,20,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': 20}",0.9632581208415326,0.9622660573451535,0.9634349221406494,0.962967042642811,0.9629461765233481,0.962974463898699,0.000398792715466877,6
48.54997701644898,1.5198484153360727,0.17571501731872557,0.07226959273055822,5,1,30,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 30}",0.9634190345364848,0.963112000356909,0.963622422179229,0.963691604604009,0.9624403475213528,0.9632570818395969,0.00045532754272078796,5
49.29484934806824,0.3769122334636249,0.246978759765625,0.03399557140984547,5,2,20,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 20}",0.9636814223474718,0.9627113073763417,0.9634120123501299,0.9637347276109579,0.9632068007594737,0.963349254088875,0.0003715193525757466,4
46.090567922592165,3.708811064140852,0.2692974090576172,0.04641654282584145,2,2,20,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 20}",0.9635876952385194,0.9630087741662771,0.9634665555627869,0.9639309133224256,0.9631757805440765,0.9634339437668171,0.00032221086955220717,3
32.1163236618042,6.32626691283488,0.06927700042724609,0.019384545466248154,10,1,20,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 20}",0.9638423053905081,0.9629516417630102,0.9636122066099602,0.9639748613511011,0.963086033214866,0.963493409665889,0.0004067197313161822,2
47.79516000747681,3.4198856053344326,0.23895068168640138,0.020262778861384632,2,1,20,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 20}",0.9643271075612782,0.9632720140198365,0.9643625530554707,0.9644204441521903,0.9638292200563157,0.9640422677690182,0.000439411860280986,1
